url,Number of Dots,Subdomain Level,Path Level,URL length,Number of dash symbol,Number of AtSymbol,Number of Tilde Symbol,Number of Underscores,Number of dollar symbol,Number of colon symbol,Number of Percent symbols,Query count,Numerical character count,presence of HTTPS,IP in hostname,suffix(tld) in subdomain,HTTPS in Hostname,Hostname length,query length,Double Slash in Path,Avg wordlength in Hostname,Atsymbols in Hostname,Numerical Characters in Hostname,Number of SensitiveWords in URL,url entropy,Number of SensitiveWords in HTML,Number of Hyperlinks,External Hyperlinks percent,External ResourceURLs percent,Ext Favicon,Insecure Forms,RelativeFormAction,external formaction,Percentage of NullSelfRedirectHyperlinks,Fake Link In StatusBar,popup window,Right Click Disabled,Title is missing,Iframe Or Frame present,src_eval_cnt,src_escape_cnt,src_exec_cnt,src_search_cnt,Most Common Link Domain in External,Common Resource Domain in External,Ratio of Common Domain in Webpage,Ratio of Common Domain in Footer,Ratio of Null Links,Ratio of Null Links in Footer,Ratio of Null links present in body-tag,label
https://compactdrivesolu.blob.core.windows.net/nedo/latoy.html,5,3,2,62,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,6.8,0,0,0,4.247898731,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://bafkreifefpvr26zfog4s27pxbtd3tqmtatd34e374cvv4tvnuuxhohinze.ipfs.dweb.link/,3,2,1,83,0,0,0,0,0,1,0,0,12,0,0,0,0,74,0,0,17.75,0,12,0,4.797812137,0,3,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,0,1,1
http://ups-trackid728912.is-certified.com/Find?sslchannel=true&sessionid=vK8E3p0DUizfVXobro2dUaaF1z54bgymaGfiOtpfyJAVxaTjqiRv2yIflDyRC8t46sDL7RWr1I2muDekBWdjnRGXciDbaJulRxcX274Fkvg0iKy6nMFOlR4iCZs5in34pm,2,1,1,203,2,0,0,0,0,1,0,2,29,1,0,0,0,34,156,0,10.66666667,0,6,0,5.637541801,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://southcoastaletrail.net.au/original/tech/2023-onedrive-FINAL/,2,0,4,68,2,0,0,0,0,1,0,0,4,0,0,0,0,25,0,0,7.666666667,0,0,0,4.49694846,22,26,88.46153846,100,0,0,0,0,10,0,0,0,0,0,0,0,0,57,0,0,0.115384615,0,0.115384615,0,1,1
https://sksadesign.com/@/GlobalSources/,1,0,3,39,0,1,0,0,0,1,0,0,0,0,0,0,0,14,0,0,6.5,0,0,0,4.311705592,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://mydhlexpress2023.azurewebsites.net/korsingn98sd65Kl/info.html,3,1,2,69,0,0,0,0,0,1,0,0,8,0,0,0,0,34,0,0,10.66666667,0,4,0,4.709316668,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://hrdc.amu.ac.in/2022-23/admin/resources/ig7402x03/,3,1,5,57,1,0,0,0,0,1,0,0,12,0,0,0,0,14,0,0,2.75,0,0,0,4.419813919,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://www.clicklatino.co/personal.html,3,1,1,39,0,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,5.333333333,0,0,1,4.00913459,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://httpharoldhazard1-wixsite-com.filesusr.com/html/3ff7c4_39f5e951394368f9e49c63fbf3166add.html,3,1,2,99,2,0,0,1,0,1,0,0,25,1,0,0,0,42,0,0,13.33333333,0,1,0,4.758484177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
https://ipwczba.cn/,1,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,4.5,0,0,0,3.681880803,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
